رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
1,صنعت نفت آبادان,20,10,7,3,24,11,37,صعود به دور دوم
2,استقلال اهواز,20,11,3,6,35,22,36,صعود به دور دوم
3,مس کرمان,20,10,5,5,38,27,35,
4,عقاب تهران,20,9,5,6,21,29,32,
5,فجر سپاه تهران,20,6,8,6,14,16,26,
6,صنام تهران,20,6,7,7,23,24,25,
7,نیروی زمینی تهران,20,4,12,4,18,20,24,
8,راه‌آهن,20,5,7,8,12,19,22,
9,پاس اراک,20,6,4,10,21,33,22,سقوط به لیگ دو
10,شهرداری بوشهر,20,5,5,10,20,25,20,سقوط به لیگ دو
11,شهرداری کرمان,20,4,5,11,19,33,17,سقوط به لیگ دو
