Home \ Away,DMG,ETK,FNA,GOL,HAM,MST,MSR,MVT,NFT,PYM,KAV,SHB,SHY,TAR
Damash,,1–0,1–1,2–1,2–0,1–1,4–1,3–2,3–1,3–0,3–1,1–0,4–3,1–1
Etka Gorgan,1–0,,3–1,1–0,4–1,1–1,1–1,1–2,2–1,1–0,1–0,3–1,0–0,3–0
Foolad Natanz,1–1,0–0,,1–2,2–0,1–1,0–0,0–0,3–5,1–2,1–0,1–1,1–0,2–1
Gol Gohar,0–0,1–0,4–1,,1–2,0–1,4–0,1–0,1–1,3–3,1–1,1–0,1–0,1–1
Hamyari Arak,1–2,2–1,1–4,0–0,,1–1,1–0,1–0,0–1,1–0,2–1,0–0,1–2,0–0
Machine Sazi,2–3,3–2,2–2,1–1,1–1,,1–2,1–1,2–2,1–0,1–2,1–2,1–0,2–0
Mes Rafsanjan,2–0,0–0,2–1,2–0,0–1,1–0,,1–2,1–0,0–2,4–0,0–0,1–0,0–0
Moghavemat,0–1,1–0,1–0,2–0,0–1,1–0,2–1,,1–0,1–0,0–0,1–0,1–1,3–0
Naft Masjed Soleyman,2–2,3–1,2–1,1–1,2–1,3–1,0–0,1–0,,3–3,1–2,1–0,0–0,0–0
Payam Mashhad,1–0,3–0,0–1,0–2,1–1,0–1,2–0,2–1,2–0,,2–1,1–1,2–0,0–0
Sanati Kaveh,1–1,2–1,1–1,2–2,2–1,0–1,1–1,0–0,0–0,1–0,,0–1,3–0,1–1
Sh. Bandar Abbas,1–0,2–2,4–3,0–0,1–0,3–0,2–0,0–1,1–1,2–1,1–3,,2–1,1–1
Sh. Yasouj,0–0,1–0,2–0,2–0,0–0,3–0,1–0,2–1,3–1,2–1,2–2,1–0,,2–1
Tarbiat Yazd,0–0,1–1,0–0,3–1,0–0,2–2,0–0,1–0,1–0,2–1,3–0,2–0,3–0,
