Home \ Away,ABU,ALH,BGH,DAM,ESA,FOY,GOS,IRJ,MSA,NSJ,PMS,SAN,SEP,SFZ
Aboumoslem,,0–0,1–1,1–0,1–0,3–1,3–0,1–0,1–0,1–0,1–0,1–1,3–0,1–2
Aluminium Hormozgan,1–0,,2–0,1–1,1–0,2–1,1–2,2–1,1–0,1–0,1–0,0–0,3–0,1–0
Bargh Shiraz,2–1,0–1,,0–0,4–1,2–0,0–1,1–0,0–0,1–0,0–2,1–0,1–1,0–0
Damash Lorestan,0–0,2–1,2–1,,0–1,2–3,0–0,0–1,0–2,2–1,1–0,3–0,2–1,0–1
Est. Ahvaz,1–2,2–2,2–3,3–2,,0–1,1–0,2–1,1–3,0–0,0–3,0–1,2–1,0–1
Foolad Yazd,1–0,1–1,1–1,0–0,1–0,,1–2,1–1,1–0,0–2,1–2,1–2,2–0,0–1
Gostaresh,1–0,2–1,2–1,2–1,2–1,2–1,,0–1,0–0,1–1,1–0,3–1,1–0,1–1
Iranjavan,1–2,4–0,1–1,2–2,0–0,4–1,0–0,,1–0,0–1,1–1,0–0,3–0,2–2
Mes Sarcheshmeh,1–1,1–1,1–1,2–1,1–0,0–1,1–0,3–0,,3–0,1–0,4–0,2–0,2–0
Nassaji Mazandaran,3–0,1–1,1–1,2–0,1–1,4–1,0–0,3–0,1–1,,4–0,1–0,3–0,2–0
Payam Mokhaberat,1–1,0–0,0–0,1–1,0–0,3–1,1–2,0–0,0–1,1–1,,0–1,0–0,0–0
Sanat Sari,2–2,1–1,1–0,1–0,1–0,0–0,2–1,0–2,1–2,1–0,1–1,,0–0,0–0
Sepidrood,1–1,0–1,3–1,1–0,1–1,4–1,0–1,3–2,0–2,1–2,2–2,1–1,,0–0
Shirin Faraz,0–0,0–2,1–1,1–0,0–1,0–0,3–1,0–1,2–1,0–0,0–2,0–0,2–1,
