0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ميزبان / ميهمان۱,ابو,آلو,برق,دام,اس ا,فوی,گست,ایر,سرچ,نسا,پیا,صسا,سپی,شیر
ابومسلم,,۰–۰,۱–۱,۱–۰,۱–۰,۳–۱,۳–۰,۱–۰,۱–۰,۱–۰,۱–۰,۱–۱,۳–۰,۱–۲
آلومینیوم هرمزگان,۱–۰,,۲–۰,۱–۱,۱–۰,۲–۱,۱–۲,۲–۱,۱–۰,۱–۰,۱–۰,۰–۰,۳–۰,۱–۰
برق شیراز,۲–۱,۰–۱,,۰–۰,۴–۱,۲–۰,۰–۱,۱–۰,۰–۰,۱–۰,۰–۲,۱–۰,۱–۱,۰–۰
داماش لرستان,۰–۰,۲–۱,۲–۱,,۰–۱,۲–۳,۰–۰,۰–۱,۰–۲,۲–۱,۱–۰,۳–۰,۲–۱,۰–۱
استقلال اهواز,۱–۲,۲–۲,۲–۳,۳–۲,,۰–۱,۱–۰,۲–۱,۱–۳,۰–۰,۰–۳,۰–۱,۲–۱,۰–۱
فولاد یزد,۱–۰,۱–۱,۱–۱,۰–۰,۱–۰,,۱–۲,۱–۱,۱–۰,۰–۲,۱–۲,۱–۲,۲–۰,۰–۱
گسترش فولاد,۱–۰,۲–۱,۲–۱,۲–۱,۲–۱,۲–۱,,۰–۱,۰–۰,۱–۱,۱–۰,۳–۱,۱–۰,۱–۱
ایرانجوان,۱–۲,۴–۰,۱–۱,۲–۲,۰–۰,۴–۱,۰–۰,,۱–۰,۰–۱,۱–۱,۰–۰,۳–۰,۲–۲
مس سرچشمه,۱–۱,۱–۱,۱–۱,۲–۱,۱–۰,۰–۱,۱–۰,۳–۰,,۳–۰,۱–۰,۴–۰,۲–۰,۲–۰
نساجی مازندران,۳–۰,۱–۱,۱–۱,۲–۰,۱–۱,۴–۱,۰–۰,۳–۰,۱–۱,,۴–۰,۱–۰,۳–۰,۲–۰
پیام مخابرات,۱–۱,۰–۰,۰–۰,۱–۱,۰–۰,۳–۱,۱–۲,۰–۰,۰–۱,۱–۱,,۰–۱,۰–۰,۰–۰
صنعت ساری,۲–۲,۱–۱,۱–۰,۱–۰,۱–۰,۰–۰,۲–۱,۰–۲,۱–۲,۱–۰,۱–۱,,۰–۰,۰–۰
سپیدرود,۱–۱,۰–۱,۳–۱,۱–۰,۱–۱,۴–۱,۰–۱,۳–۲,۰–۲,۱–۲,۲–۲,۱–۱,,۰–۰
شیرین‌فراز,۰–۰,۰–۲,۱–۱,۱–۰,۰–۱,۰–۰,۳–۱,۰–۱,۲–۱,۰–۰,۰–۲,۰–۰,۲–۱,
