Home \ Away,ALH,BGH,ESK,GZA,GOL,MST,NFT,NSJ,NRO,PAS,KAV,SHY,SFZ,TAR
Aluminium Hormozgan,,2–0,1–1,1–0,1–1,0–0,,,,2–0,1–0,2–0,0–0,
Bargh Shiraz,,,,0–1,,,0–0,2–1,1–1,0–0,0–3,1–2,1–0,0–1
Est. Khuzestan,,1–1,,,,,2–0,,1–1,0–0,1–0,0–2,3–1,1–1
Gahar Zagros,0–1,1–0,1–0,,,3–1,1–1,0–0,,,1–1,,3–1,3–1
Gol Gohar,1–2,3–0,3–1,0–0,,2–2,3–0,,,,3–2,0–1,,2–1
Machine Sazi,,1–1,2–1,2–1,2–0,,2–2,,,,3–2,3–1,1–1,1–2
Naft Masjed Soleyman,1–1,,,,,1–0,,2–3,1–1,1–2,,1–0,1–1,1–0
Nassaji Mazandaran,0–1,,1–0,1–0,1–0,1–3,,,0–0,2–1,1–1,1–0,,
Niroye Zamini,1–0,1–1,1–0,0–1,1–0,1–1,,1–0,,,1–0,2–2,,
PAS Hamedan,1–1,2–1,1–2,1–2,2–1,0–1,,2–1,2–1,,,,,1–1
Sanati Kaveh,1–2,0–1,0–0,,,,0–1,2–1,1–1,1–1,,,2–0,1–1
Sh. Yasouj,,,2–0,0–0,1–2,0–1,1–0,,1–3,2–0,1–0,,2–2,
Shirin Faraz,1–1,1–0,,,0–0,1–0,1–1,2–0,2–1,1–1,,,,1–0
Tarbiat Yazd,0–2,,,2–0,2–0,,2–1,1–1,0–0,1–3,,0–0,2–1,
