رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,آلومینیوم هرمزگان (P),26,15,7,4,28,12,+16,37,صعود به لیگ برتر فوتبال ایران ۹۲–۱۳۹۱,
2,گهر زاگرس (P) (Q),26,11,9,6,23,16,+7,31,Azadegan League 2011-12 Play Off,
3,ماشین سازی,26,11,8,7,32,25,+7,30,,
4,پاس همدان,26,10,9,7,29,25,+4,29,,
5,نساجی مازندران,26,10,7,9,26,26,0,27,,
6,استقلال خوزستان,26,9,8,9,28,23,+5,26,,
7,شهرداری یاسوج,26,10,5,11,24,27,−3,25,,
8,نفت مسجد سلیمان,26,8,10,8,25,26,−1,26,,
9,گل‌گهر سیرجان,26,9,6,11,28,28,0,24,,
10,نیروی زمینی,26,7,11,8,23,24,−1,25,,
11,شیرین فراز,26,7,11,8,22,27,−5,25,,
12,تربیت یزد,26,7,9,10,21,26,−5,23,,
13,صنعتی کاوه (R),26,7,8,11,24,23,+1,22,سقوط به لیگ دسته دوم ۹۲–۱۳۹۱,
14,برق شیراز (R),26,4,6,16,12,37,−25,14,سقوط به لیگ دسته دوم ۹۲–۱۳۹۱,
