رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,توضیحات
۱,نفت مسجدسلیمان (ص),۲۴,۱۲,۷,۵,۳۱,۲۲,۹+,۴۳,صعود به لیگ برتر ۹۴–۱۳۹۳
۲,پیکان (ص) (۱/۴),۲۴,۱۲,۴,۸,۳۵,۲۴,۱۱+,۴۰,رفتن به یک چهارم
۳,پارسه تهران,۲۴,۱۰,۹,۵,۲۷,۲۱,۶+,۳۹,
۴,ایرانجوان,۲۴,۹,۱۱,۴,۲۹,۲۱,۸+,۳۸,
۵,مس رفسنجان,۲۴,۸,۱۱,۵,۲۸,۲۱,۷+,۳۵,
۶,آلومینیوم,۲۴,۸,۷,۹,۲۸,۲۰,۸+,۳۱,
۷,نفت گچساران,۲۴,۷,۱۰,۷,۲۸,۲۷,۱+,۳۱,
۸,راهیان,۲۴,۸,۷,۹,۲۳,۲۹,۶-,۳۱,
۹,پاس,۲۴,۸,۵,۱۱,۲۲,۲۸,۶-,۲۹,
۱۰,یزد لوله,۲۴,۶,۱۰,۸,۲۱,۲۱,۰,۲۸,
۱۱,بدر (س),۲۴,۹,۱۴,۱,۲۱,۳۰,۹-,۲۵,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
۱۲,ابومسلم (س),۲۴,۴,۱۰,۱۰,۲۷,۴۰,۱۳-,۲۲,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
۱۳,پرسپولیس شمال (س),۲۴,۴,۷,۱۳,۲۶,۴۲,۱۶-,۱۹,سقوط به لیگ دسته دوم ۹۴-۱۳۹۳
