رده,تیم,بازیها,برد,مساوی,باخت,گل زده,گل خورده,تفاضل گل,امتیاز,صعود یا سقوط
۱,سیاه‌جامگان (ق),۲۱,۱۱,۶,۴,۲۵,۱۵,۱۰+,۳۹,صعود به لیگ برتر فوتبال ایران ۹۵–۱۳۹۴
۲,مس رفسنجان,۲۱,۱۰,۷,۴,۲۰,۱۲,۸+,۳۷,مرحله حذفی
۳,پاس همدان,۲۱,۱۰,۷,۴,۱۹,۱۳,۶+,۳۷,
۴,پارسه,۲۱,۹,۷,۵,۲۶,۲۲,۴+,۳۴,
۵,صنعت نفت,۲۱,۹,۶,۶,۲۲,۱۷,۵+,۳۳,
۶,داماش,۲۱,۶,۹,۶,۱۹,۲۰,۱-,۲۷,
۷,گل‌گهر,۲۱,۵,۹,۷,۱۸,۲۰,۲-,۲۴,
۸,فولاد یزد,۲۱,۵,۹,۷,۱۶,۲۱,۵-,۲۴,
۹,ش.تبریز,۲۱,۴,۱۰,۷,۲۱,۲۰,۱+,۲۲,بازی حذفی برای صعود به لیگ آزادگان ۹۵–۱۳۹۴
۱۰,راهیان (س),۲۱,۵,۷,۹,۱۲,۱۶,۴–,۲۲,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴
۱۱,ش.بندرعباس (س),۲۱,۳,۷,۱۱,۱۲,۲۴,۱۲–,۱۶,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴
۱۲,اتکا (س),۱۱,۱,۲,۸,۱۰,۲۰,۱۰-,۵,سقوط به لیگ دسته دوم ۹۵–۱۳۹۴
