Home \ Away,ALU,ALH,DMG,FJR,FOY,SGP,GOL,IRJ,KHE,KBK,MST,MSR,NFT,NSJ,PAT,PAS,PAY,MES,SNA,SHA
Aluminium Arak,,3–3,4–3,1–1,1–1,2–1,0–0,3–2,3–0,4–0,1–2,1–0,0–0,1–1,2–2,2–1,1–1,1–1,2–2,3–0
Aluminium Hormozgan,0–0,,0–0,0–2,2–0,1–1,2–0,0–0,0–1,1–2,1–2,0–1,2–0,0–0,1–1,0–3,1–1,2–2,1–1,2–5
Damash,1–1,3–0,,1–0,0–0,1–2,1–0,0–0,0–0,2–1,1–0,1–2,2–2,1–1,0–0,1–0,1–2,0–2,0–0,1–0
Fajr Sepasi,1–0,1–0,3–1,,1–1,2–0,1–1,1–2,5–2,1–0,0–1,0–0,1–0,1–0,2–0,1–0,0–0,1–0,0–2,0–0
Foolad Yazd,0–1,0–1,1–0,1–0,,1–1,0–0,2–2,1–1,1–0,1–2,1–1,1–0,1–0,3–5,1–0,0–1,0–0,2–0,1–0
Giti Pasand,0–2,1–0,0–1,3–1,3–1,,0–0,1–1,1–1,1–0,2–1,0–0,1–1,0–0,1–0,0–1,0–0,0–1,0–0,1–0
Gol Gohar,1–0,1–1,2–1,0–0,0–0,1–1,,2–2,1–0,0–1,2–0,0–0,0–0,1–1,2–2,2–1,1–0,1–1,3–1,1–2
Iranjavan,3–0,1–0,0–0,0–1,0–1,1–1,0–0,,0–3,1–1,2–1,1–2,0–3,2–1,2–2,1–0,3–1,1–0,2–0,2–1
Kheybar Khorramabad,1–0,3–0,2–1,1–2,1–1,2–1,2–2,2–1,,0–1,1–0,0–0,0–0,0–1,3–0,2–0,0–0,2–0,2–3,3–3
Khooneh be Khooneh,0–0,1–0,1–1,0–2,1–1,1–1,1–0,2–1,0–0,,2–2,1–0,2–0,1–0,2–0,1–0,1–1,2–2,2–1,2–0
Machine Sazi,1–1,3–0,2–1,2–1,2–0,0–0,2–1,1–1,3–3,2–2,,3–0,3–1,1–0,1–1,3–1,1–1,0–0,2–0,1–1
Mes Rafsanjan,2–0,1–1,1–0,1–1,3–3,3–0,1–2,3–1,0–1,2–1,1–1,,2–1,4–1,0–0,1–0,1–0,1–2,0–0,2–2
Naft Masjed Soleyman,3–2,1–1,3–0,1–0,1–0,2–1,1–1,2–2,2–2,0–0,1–2,1–1,,1–0,2–1,1–1,0–1,1–0,0–0,0–0
Nassaji Mazandaran,0–0,1–3,1–1,0–2,1–0,3–1,3–2,4–1,2–1,1–0,1–1,1–1,2–0,,1–0,1–1,1–2,1–0,1–4,2–1
Parseh Tehran,1–1,3–2,2–2,0–0,1–1,2–0,1–1,3–1,1–1,1–2,0–0,1–2,0–0,0–2,,5–0,0–1,1–1,2–2,1–0
PAS Hamedan,1–1,1–1,1–0,1–1,1–0,0–0,1–1,0–1,3–0,1–1,1–0,3–1,3–2,0–1,1–1,,0–0,3–1,0–0,1–1
Paykan,1–1,1–0,3–0,2–0,2–1,2–0,1–0,3–0,3–2,1–1,2–2,1–1,1–1,2–0,3–1,1–0,,0–0,1–2,1–1
Mes Kerman,0–0,2–0,2–0,0–0,2–1,1–0,0–1,3–2,1–0,0–0,1–0,1–2,3–3,1–0,1–0,1–0,1–2,,1–2,1–1
Sanat Naft,1–1,3–0,1–0,2–1,1–0,2–0,2–1,2–0,1–0,0–0,1–1,1–0,0–0,2–2,1–2,2–1,2–2,1–2,,5–0
Sh. Ardabil,3–1,2–0,1–0,2–2,0–1,3–0,1–1,2–0,0–0,3–3,0–2,0–0,1–2,0–1,0–1,1–2,1–2,1–0,4–1,
