0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
میزبان ╲ میهمان,آ.اراک,آ.هرمز,داماش,فجر,ف.یزد,گیتی,گل,ایر,خیب,خونه,ماش,مس.ر,نفت م.س,نسج,پار,پاس,پیک,مس,صنآ,شار
آلومینیوم اراک,,۳–۳,۴–۳,۱–۱,۱–۱,۲–۱,۰–۰,۳–۲,۳–۰,۴–۰,۱–۲,۱–۰,۰–۰,۱–۱,۲–۲,۲–۱,۱–۱,۱–۱,۲–۲,۳–۰
آلومینیوم هرمزگان,۰–۰,,۰–۰,۰–۲,۲–۰,۱–۱,۲–۰,۰–۰,۰–۱,۱–۲,۱–۲,۰–۱,۲–۰,۰–۰,۱–۱,۰–۳,۱–۱,۲–۲,۱–۱,۲–۵
داماش گیلان,۱–۱,۳–۰,,۱–۰,۰–۰,۱–۲,۱–۰,۰–۰,۰–۰,۲–۱,۱–۰,۱–۲,۲–۲,۱–۱,۰–۰,۱–۰,۱–۲,۰–۲,۰–۰,۱–۰
فجر سپاسی,۱–۰,۱–۰,۳–۱,,۱–۱,۲–۰,۱–۱,۱–۲,۵–۲,۱–۰,۰–۱,۰–۰,۱–۰,۱–۰,۲–۰,۱–۰,۰–۰,۱–۰,۰–۲,۰–۰
فولاد یزد,۰–۱,۰–۱,۱–۰,۱–۰,,۱–۱,۰–۰,۲–۲,۱–۱,۱–۰,۱–۲,۱–۱,۱–۰,۱–۰,۳–۵,۱–۰,۰–۱,۰–۰,۲–۰,۱–۰
گیتی‌پسند,۰–۲,۱–۰,۰–۱,۳–۱,۳–۱,,۰–۰,۱–۱,۱–۱,۱–۰,۲–۱,۰–۰,۱–۱,۰–۰,۱–۰,۰–۱,۰–۰,۰–۱,۰–۰,۱–۰
گل‌گهر,۱–۰,۱–۱,۲–۱,۰–۰,۰–۰,۱–۱,,۲–۲,۱–۰,۰–۱,۲–۰,۰–۰,۰–۰,۱–۱,۲–۲,۲–۱,۱–۰,۱–۱,۳–۱,۱–۲
ایران جوان,۳–۰,۱–۰,۰–۰,۰–۱,۰–۱,۱–۱,۰–۰,,۰–۳,۱–۱,۲–۱,۱–۲,۰–۳,۲–۱,۲–۲,۱–۰,۳–۱,۱–۰,۲–۰,۲–۱
خیبر خرم‌آباد,۱–۰,۳–۰,۲–۱,۱–۲,۱–۱,۲–۱,۲–۲,۲–۱,,۰–۱,۱–۰,۰–۰,۰–۰,۰–۱,۳–۰,۲–۰,۰–۰,۲–۰,۲–۳,۳–۳
خونه به خونه,۰–۰,۱–۰,۱–۱,۰–۲,۱–۱,۱–۱,۱–۰,۲–۱,۰–۰,,۲–۲,۱–۰,۲–۰,۱–۰,۲–۰,۱–۰,۱–۱,۲–۲,۲–۱,۲–۰
ماشین‌سازی,۱–۱,۳–۰,۲–۱,۲–۱,۲–۰,۰–۰,۲–۱,۱–۱,۳–۳,۲–۲,,۳–۰,۳–۱,۱–۰,۱–۱,۳–۱,۱–۱,۰–۰,۲–۰,۱–۱
مس رفسنجان,۲–۰,۱–۱,۱–۰,۱–۱,۳–۳,۳–۰,۱–۲,۳–۱,۰–۱,۲–۱,۱–۱,,۲–۱,۴–۱,۰–۰,۱–۰,۱–۰,۱–۲,۰–۰,۲–۲
نفت مسجدسلیمان,۳–۲,۱–۱,۳–۰,۱–۰,۱–۰,۲–۱,۱–۱,۲–۲,۲–۲,۰–۰,۱–۲,۱–۱,,۱–۰,۲–۱,۱–۱,۰–۱,۱–۰,۰–۰,۰–۰
نساجی مازندران,۰–۰,۱–۳,۱–۱,۰–۲,۱–۰,۳–۱,۳–۲,۴–۱,۲–۱,۱–۰,۱–۱,۱–۱,۲–۰,,۱–۰,۱–۱,۱–۲,۱–۰,۱–۴,۲–۱
پارسه تهران,۱–۱,۳–۲,۲–۲,۰–۰,۱–۱,۲–۰,۱–۱,۳–۱,۱–۱,۱–۲,۰–۰,۱–۲,۰–۰,۰–۲,,۵–۰,۰–۱,۱–۱,۲–۲,۱–۰
پاس همدان,۱–۱,۱–۱,۱–۰,۱–۱,۱–۰,۰–۰,۱–۱,۰–۱,۳–۰,۱–۱,۱–۰,۳–۱,۳–۲,۰–۱,۱–۱,,۰–۰,۳–۱,۰–۰,۱–۱
پیکان,۱–۱,۱–۰,۳–۰,۲–۰,۲–۱,۲–۰,۱–۰,۳–۰,۳–۲,۱–۱,۲–۲,۱–۱,۱–۱,۲–۰,۳–۱,۱–۰,,۰–۰,۱–۲,۱–۱
مس کرمان,۰–۰,۲–۰,۲–۰,۰–۰,۲–۱,۱–۰,۰–۱,۳–۲,۱–۰,۰–۰,۱–۰,۱–۲,۳–۳,۱–۰,۱–۰,۱–۰,۱–۲,,۱–۲,۱–۱
صنعت نفت,۱–۱,۳–۰,۱–۰,۲–۱,۱–۰,۲–۰,۲–۱,۲–۰,۱–۰,۰–۰,۱–۱,۱–۰,۰–۰,۲–۲,۱–۲,۲–۱,۲–۲,۱–۲,,۵–۰
شهرداری اردبیل,۳–۱,۲–۰,۱–۰,۲–۲,۰–۱,۳–۰,۱–۱,۲–۰,۰–۰,۳–۳,۰–۲,۰–۰,۱–۲,۰–۱,۰–۱,۱–۲,۱–۲,۱–۰,۴–۱,
