Home \ Away,ALU,BAD,ESA,FJR,FOY,GOL,IRJ,KHE,KBK,MLV,MSR,NFT,NSJ,OXI,PJJ,RAH,MES,SEP
Aluminium Arak,,1–0,1–1,2–3,0–1,1–1,3–0,1–0,2–0,2–3,0–2,1–2,1–1,1–0,0–0,2–1,0–0,1–0
Baadraan Tehran,1–1,,3–1,1–0,2–1,1–1,0–0,1–0,3–0,1–1,1–1,0–0,0–1,1–1,0–0,0–0,1–1,1–0
Est. Ahvaz,0–3,0–1,,1–1,1–1,0–2,0–0,0–1,0–0,1–3,1–2,2–2,1–1,0–0,1–2,1–1,1–5,0–1
Fajr Sepasi,1–1,0–0,4–0,,2–0,0–2,3–2,0–1,2–0,0–0,0–1,1–3,0–0,0–0,0–0,2–2,0–2,1–2
Foolad Yazd,0–0,1–1,2–1,0–2,,1–2,1–0,1–1,0–1,0–0,0–2,1–0,1–0,0–3,0–1,2–2,1–0,1–1
Gol Gohar,3–2,0–2,4–0,1–0,2–1,,3–0,1–0,0–0,3–1,2–1,0–0,2–2,2–1,0–1,5–1,0–0,3–2
Iranjavan,3–3,1–2,5–0,2–1,2–1,1–1,,0–1,0–0,3–2,0–0,0–0,2–2,0–1,1–2,5–0,1–1,3–1
Kheybar Khorramabad,1–3,0–2,2–0,0–0,0–0,1–1,1–0,,0–0,0–1,1–1,1–0,2–1,1–2,0–1,0–2,0–0,1–1
Khooneh be Khooneh,1–1,2–2,1–0,1–1,2–1,5–1,1–2,4–2,,2–0,3–1,3–0,3–0,0–2,0–2,6–0,0–0,0–1
Malavan,1–0,1–0,2–1,1–0,1–0,0–0,0–0,2–1,1–1,,2–1,0–0,1–0,1–0,1–1,0–0,2–1,1–0
Mes Rafsanjan,0–1,1–2,3–0,2–3,5–0,3–0,1–0,6–1,1–2,0–0,,1–1,0–1,2–1,0–0,4–2,0–0,0–0
Naft Masjed Soleyman,1–1,0–1,1–1,2–0,1–1,0–1,3–0,1–2,1–2,1–1,0–0,,0–1,3–0,0–0,4–0,2–2,1–0
Nassaji Mazandaran,0–1,2–2,3–0,0–1,3–0,3–3,2–1,3–1,1–2,2–1,2–0,2–1,,0–1,1–1,4–1,0–0,2–1
Oxin Alborz,0–1,1–0,3–0,3–1,1–1,0–0,1–2,2–0,1–1,2–1,1–1,1–1,3–1,,0–0,0–1,2–0,1–2
Pars Jonoubi Jam,2–1,0–1,1–0,1–0,1–0,2–0,2–1,0–0,0–0,2–0,1–0,0–0,2–0,0–2,,0–2,1–1,1–1
Rah Ahan,0–0,0–1,3–0,1–1,0–0,0–2,0–1,3–1,0–1,1–2,2–0,3–0,1–1,0–0,0–2,,1–0,0–0
Mes Kerman,1–0,1–0,2–2,2–2,2–0,1–1,1–0,1–0,1–2,0–0,1–0,2–2,2–0,3–1,1–0,1–1,,0–1
Sepidrood,1–0,1–0,2–1,2–0,0–0,1–0,1–1,0–0,3–1,1–1,1–0,1–0,3–2,2–1,0–0,1–0,1–0,
