رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,پارس جنوبی جم (C),34.0,16.0,14.0,4.0,29.0,14.0,+15,46.0,صعود به لیگ برتر ۹۷-۱۳۹۶,
2,سپیدرود,34.0,17.0,10.0,7.0,35.0,24.0,+11,44.0,صعود به لیگ برتر ۹۷-۱۳۹۶,
3,گل گهر سیرجان,34.0,16.0,12.0,6.0,49.0,34.0,+15,44.0,,
4,ملوان,34.0,15.0,13.0,6.0,34.0,27.0,+7,43.0,,
5,بادران,34.0,14.0,14.0,6.0,34.0,21.0,+13,42.0,,
6,,33.0,14.0,11.0,8.0,44.0,33.0,+11,39.0,,
7,اکسین البرز,34.0,13.0,10.0,11.0,39.0,29.0,+10,36.0,,
8,مس کرمان,34.0,11.0,16.0,7.0,35.0,25.0,+10,38.0,,
9,آلومینیوم اراک,34.0,12.0,12.0,10.0,38.0,31.0,+7,36.0,,
10,نساجی مازندران,33.0,12.0,10.0,11.0,44.0,38.0,+6,34.0,,
11,مس رفسنجان,33.0,10.0,10.0,13.0,39.0,32.0,+7,30.0,,
12,ایرانجوان,34.0,9.0,11.0,14.0,39.0,41.0,−2,29.0,,
13,نفت مسجد سلیمان,34.0,7.0,16.0,11.0,33.0,32.0,+1,30.0,,
14,فجر سپاسی,34.0,8.0,12.0,14.0,32.0,38.0,−6,28.0,,
15,راه آهن,34.0,8.0,12.0,14.0,31.0,49.0,−18,28.0,,
16,خیبر خرم آباد,34.0,8.0,10.0,16.0,23.0,41.0,−18,26.0,سقوط به لیگ دو ۹۷-۱۳۹۶,
17,فولاد یزد (R),34.0,6.0,12.0,16.0,20.0,42.0,−22,24.0,سقوط به لیگ دو ۹۷-۱۳۹۶,
18,استقلال اهواز (R),33.0,0.0,11.0,22.0,18.0,65.0,−47,11.0,سقوط به لیگ دو ۹۷-۱۳۹۶,
سقوط به لیگ دو ۹۷-۱۳۹۶,,,,,,,,,,,
سقوط به لیگ دو ۹۷-۱۳۹۶,,,,,,,,,,,
سقوط به لیگ دو ۹۷-۱۳۹۶,,,,,,,,,,,
