Home \ Away,ALU,BAD,BJS,FJR,GOL,IRJ,KBK,MST,MLV,MES,MSR,NFT,NSJ,OXI,RAH,SAB,SHM,SHT
Aluminium Arak,,0–0,1–0,0–0,0–1,1–2,0–1,2–2,0–0,0–2,0–0,1–1,0–2,0–2,4–0,0–0,2–1,0–0
Baadraan Tehran,3–1,,3–1,0–0,1–1,3–1,0–0,2–0,1–1,1–0,1–0,1–0,1–0,2–2,1–0,7–0,1–2,1–1
Bargh Jadid Shiraz,0–1,2–0,,1–1,4–0,1–1,2–2,1–0,0–0,0–1,1–1,0–0,0–1,1–0,1–0,2–1,3–4,1–0
Fajr Sepasi,3–0,0–1,2–0,,1–2,1–0,1–1,3–0,2–1,0–1,1–0,1–0,0–0,2–0,1–0,6–1,2–1,3–1
Gol Gohar,1–1,0–0,1–2,1–1,,1–2,0–0,2–1,0–0,5–1,0–0,2–1,3–1,1–1,1–0,5–1,3–2,5–2
Iranjavan,2–2,0–3,1–1,0–1,0–1,,0–2,0–2,1–1,2–0,2–1,0–1,0–1,1–1,3–2,0–0,1–0,2–1
Khooneh be Khooneh,0–0,1–0,2–1,1–2,0–0,3–1,,0–0,0–0,2–1,1–1,1–0,2–1,1–0,1–0,4–0,3–0,1–0
Machine Sazi,1–2,2–1,0–1,3–0,0–0,1–1,0–0,,1–2,0–1,1–1,0–0,1–0,2–2,1–0,0–0,2–1,1–2
Malavan,1–0,1–1,1–0,2–1,1–1,0–0,1–0,2–0,,3–2,1–2,1–1,3–0,1–0,1–0,2–2,2–1,3–0
Mes Kerman,0–0,0–0,0–0,0–1,3–1,2–1,2–2,1–0,1–1,,2–1,1–2,1–2,1–0,2–1,3–1,1–0,0–2
Mes Rafsanjan,2–2,2–3,1–2,2–1,1–0,2–1,1–0,0–0,0–0,1–0,,1–1,0–0,0–0,1–0,7–0,1–0,0–0
Naft Masjed Soleyman,2–2,3–3,3–0,1–0,2–0,3–0,0–1,3–0,2–2,2–1,2–2,,0–0,1–0,2–1,2–1,1–1,2–1
Nassaji Mazandaran,1–0,4–1,1–1,2–0,0–1,1–0,1–0,1–0,2–1,1–0,3–1,0–1,,2–2,2–1,1–0,1–0,2–0
Oxin Alborz,2–0,2–2,1–0,1–0,2–2,3–2,0–0,0–0,1–0,1–1,1–1,0–1,1–0,,2–0,8–0,1–0,1–0
Rah Ahan,1–2,0–4,0–0,1–7,0–4,1–1,0–3,0–0,1–1,0–3,1–0,0–1,0–6,1–2,,0–1,0–4,1–2
Saba Qom,1–4,2–3,1–1,0–1,2–2,3–4,1–2,0–4,1–1,0–2,0–2,0–1,1–6,0–1,0–1,,1–1,1–1
Sh. Mahshahr,1–0,1–1,1–0,0–0,1–0,0–1,1–2,1–1,2–1,0–0,1–1,1–3,2–2,1–0,3–1,3–1,,4–2
Sh. Tabriz,0–0,2–2,2–0,1–3,1–0,2–1,0–0,0–1,0–1,0–1,1–2,0–1,2–2,1–0,4–1,3–1,2–1,
