Home \ Away,ALU,BAD,FJR,GOL,GRA,KAR,KBK,MLV,MES,MSR,NVD,QSH,SHN,SHM,SHT,SRP
Aluminium Arak,,1–1,1–0,2–1,0–0,2–1,1–0,3–2,0–1,1–0,1–0,1–0,2–2,1–0,1–0,3–1
Baadraan Tehran,1–0,,0–1,0–0,0–2,2–1,2–1,2–1,1–1,1–0,2–2,0–0,1–1,3–2,1–1,1–2
Fajr Sepasi,0–0,0–0,,0–1,1–0,1–0,2–0,2–0,1–1,1–1,0–0,0–1,2–1,0–0,0–0,0–2
Gol Gohar,1–1,1–1,1–1,,1–0,3–0,3–2,0–0,2–1,3–1,1–0,1–1,2–0,1–0,3–1,1–2
Gol Reyhan,1–1,1–0,1–0,0–1,,2–0,1–0,3–1,1–0,1–1,1–0,1–2,1–2,4–1,2–1,2–0
Karun Arvand,0–0,2–1,1–0,0–0,0–2,,0–1,0–0,1–3,0–1,1–0,1–0,0–3,0–0,0–0,0–0
Khooneh be Khooneh,1–1,3–2,0–0,1–1,1–1,3–0,,0–3,1–0,2–2,0–0,1–0,0–0,0–0,2–0,0–1
Malavan,2–1,1–2,0–0,1–3,0–0,1–1,0–0,,1–1,2–0,2–0,1–1,0–0,1–0,2–1,2–1
Mes Kerman,0–0,4–2,2–1,0–1,2–0,2–0,3–0,0–0,,1–2,0–0,5–0,0–0,2–0,2–0,1–3
Mes Rafsanjan,4–1,1–0,4–3,4–1,1–1,2–2,1–0,0–1,0–1,,2–3,2–0,1–1,1–1,0–3,3–3
Navad Urmia,1–0,0–3,2–2,0–4,0–0,3–1,0–2,1–3,0–0,1–0,,2–1,1–1,1–1,4–1,1–0
Qashqai,0–0,1–0,0–2,3–3,0–0,1–0,2–0,0–1,0–1,1–4,2–0,,0–1,2–1,4–2,2–1
Shahin Bushehr,0–0,0–2,1–0,1–1,1–0,1–1,1–0,2–0,2–1,3–0,2–0,2–0,,0–0,3–0,1–2
Sh. Mahshahr,0–2,0–1,2–1,1–3,0–1,0–1,0–0,2–1,0–0,1–0,1–0,1–2,0–0,,2–1,0–1
Sh. Tabriz,0–0,1–1,0–1,1–1,1–0,1–2,1–0,1–0,2–2,1–0,1–1,1–0,0–1,3–3,,2–2
Sorkhpooshan,3–0,1–2,2–4,1–1,1–1,1–1,2–1,1–1,1–1,2–2,6–0,0–2,0–1,1–0,5–1,
