Home \ Away,ARM,ESK,ESM,KHE,KTS,MES,MLV,MSB,MST,PAR,QSH,RYK,SAP,SAQ,SHA,SHH,SHR,VIS
Arman Gohar,—,1–0,0–0,2–1,0–1,0–0,1–1,1–0,5–1,2–1,1–0,1–0,2–1,2–1,1–0,0–0,3–1,2–0
Esteghlal Khuzestan,0–3,—,2–2,0–0,0–0,1–2,0–0,0–0,3–0,0–1,2–0,0–0,1–2,1–1,3–0,1–0,2–1,4–2
Esteghlal Mollasani,3–0,0–1,—,1–0,0–1,0–0,0–3,1–1,6–1,2–1,0–0,2–2,2–1,0–0,1–0,0–0,0–0,0–0
Kheybar Khorramabad,0–2,2–1,3–1,—,2–2,0–2,1–1,1–1,3–2,1–2,0–0,2–0,2–1,1–0,3–0,1–0,1–0,3–1
Khooshe Talaei Saveh,1–1,2–2,0–1,1–1,—,1–1,2–1,2–1,6–1,2–2,3–2,3–2,0–0,0–1,5–1,0–0,0–1,1–0
Mes Kerman,0–0,1–0,1–1,0–0,4–0,—,0–0,1–0,1–1,1–1,1–0,2–0,2–0,2–0,3–0,3–0,1–0,1–0
Malavan,2–0,1–0,1–2,0–0,2–1,1–1,—,1–0,3–2,2–1,1–0,1–1,2–0,1–0,3–0,1–0,2–0,1–0
Mes Shahr Babak,1–1,3–0,1–0,1–1,0–1,0–0,2–3,—,1–0,3–0,1–1,1–0,1–0,0–0,2–1,1–0,1–1,0–0
Machine Sazi,2–2,1–2,2–2,0–3,1–3,1–2,0–2,1–1,—,1–1,0–1,1–1,3–3,2–2,1–2,0–4,1–2,0–0
Pars Jonoubi Jam,1–0,1–0,1–1,1–4,0–0,1–0,1–0,1–1,2–1,—,3–1,1–1,0–0,1–0,1–1,1–0,3–0,1–0
Qashqai,2–1,1–0,3–0,0–1,1–1,0–1,0–1,1–0,0–1,1–2,—,1–0,1–0,0–3,0–0,0–0,1–1,2–0
Rayka Babol,1–0,1–2,1–1,1–2,1–1,0–0,0–0,1–0,2–0,5–1,2–0,—,1–0,1–1,0–0,1–2,2–1,1–1
Saipa,1–1,1–1,0–0,2–1,1–1,2–1,0–0,0–2,4–0,0–0,3–1,3–2,—,1–1,0–0,2–1,0–0,2–1
Shams Azar Qazvin,1–3,1–0,1–1,3–3,2–1,0–3,0–0,0–1,1–0,2–1,1–2,2–0,2–0,—,2–0,1–2,3–1,0–1
Shahin Bushehr,0–1,0–7,0–1,0–2,2–3,0–1,0–1,0–0,2–0,2–2,1–2,0–0,2–2,0–2,—,0–1,0–1,0–1
Sh. Hamedan,0–2,1–0,0–0,0–0,1–1,0–1,0–0,1–1,2–1,0–0,0–0,3–0,1–1,2–2,1–0,—,1–1,2–0
Shahrdari Astara,0–0,2–0,0–0,1–0,1–0,0–0,0–1,1–1,3–0,1–0,2–1,0–1,0–0,0–0,2–0,2–2,—,0–1
Vista Toorbin Tehran,3–0,1–1,0–0,0–2,3–2,0–1,0–1,1–1,4–1,1–1,1–1,1–1,0–0,2–1,0–0,0–0,1–0,—
