Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Promotion or relegation
1,"Malavan (C, P)",34,20,11,3,40,15,+25,71,Promotion to 2022–23 Persian Gulf Pro League
2,Mes Kerman (P),34,19,13,2,40,10,+30,70,Promotion to 2022–23 Persian Gulf Pro League
3,Arman Gohar,34,17,10,7,41,26,+15,61,
4,Kheybar Khorramabad,34,16,11,7,47,29,+18,59,
5,Pars Jonoubi Jam,34,13,13,8,37,36,+1,52,
6,Khooshe Talaei Saveh,34,12,14,8,48,39,+9,50,
7,Mes Shahr Babak,34,10,16,8,30,23,+7,46,
8,Esteghlal Mollasani,34,9,19,6,31,27,+4,46,
9,Shams Azar Qazvin,34,11,11,12,37,35,+2,44,
10,Sh. Hamedan,34,9,16,9,27,24,+3,43,
11,Shahrdari Astara,34,10,12,12,26,29,−3,42,
12,Qashqai,34,11,9,14,29,33,−4,42,
13,Esteghlal Khuzestan,34,10,10,14,37,34,+3,40,
14,Saipa,34,8,16,10,33,35,−2,40,
15,Rayka Babol,34,8,14,12,32,36,−4,38,
16,Vista Toorbin Tehran (R),34,8,13,13,26,33,−7,37,Relegation to 2nd Division
17,Shahin Bushehr (R),34,2,9,23,14,55,−41,15,Relegation to 2nd Division
18,Machine Sazi (R),34,0,9,25,28,84,−56,9,Relegation to 2nd Division
