رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,ملوان بندرانزلی,۳۴,۲۰,۱۱,۳,۴۰,۱۵,۲۵+,۷۱,صعود به لیگ برتر فوتبال ایران ۰۲–۱۴۰۱
۲,مس کرمان,۳۴,۱۹,۱۳,۲,۴۰,۱۰,۳۰+,۷۰,صعود به لیگ برتر فوتبال ایران ۰۲–۱۴۰۱
۳,آرمان گهر سیرجان,۳۴,۱۷,۱۰,۷,۴۱,۲۶,۱۵+,۶۱,
۴,خیبر خرم‌آباد,۳۴,۱۶,۱۱,۷,۴۷,۲۹,۱۸+,۵۹,
۵,پارس جنوبی جم,۳۴,۱۳,۱۳,۸,۳۷,۳۶,۱+,۵۲,
۶,خوشه طلایی ساوه,۲۶,۱۲,۱۴,۰,۰,۳۹,۳۹−,۵۰,
۷,مس شهربابک,۳۴,۱۰,۱۶,۸,۳۰,۲۳,۷+,۴۶,
۸,استقلال ملاثانی,۳۴,۹,۱۹,۶,۳۱,۲۷,۴+,۴۶,
۹,شمس آذر قزوین,۳۴,۱۱,۱۱,۱۲,۳۷,۳۵,۲+,۴۴,
۱۰,شهرداری همدان,۲۵,۹,۱۶,۰,۰,۲۴,۲۴−,۴۳,
۱۱,شهرداری آستارا,۳۴,۱۰,۱۲,۱۲,۲۶,۲۹,۳−,۴۲,
۱۲,استقلال خوزستان,۳۴,۱۰,۱۰,۱۴,۳۷,۳۴,۳+,۴۰,
۱۳,سایپا تهران,۳۴,۸,۱۶,۱۰,۳۳,۳۵,۲−,۴۰,
۱۴,قشقایی شیراز,۳۴,۱۰,۹,۱۵,۲۶,۳۴,۸−,۳۹,
۱۵,رایکا بابل,۳۴,۸,۱۴,۱۲,۳۲,۳۶,۴−,۳۸,
۱۶,ویستا توربین تهران,۳۴,۸,۱۳,۱۳,۲۶,۳۳,۷−,۳۷,سقوط به لیگ ۲
۱۷,شاهین شهرداری بوشهر,۱۳,۲,۹,۲,۱۴,۵۵,۴۱−,۱۵,سقوط به لیگ ۲
۱۸,ماشین‌سازی تبریز,۳۴,۱,۹,۲۴,۲۹,۸۱,۵۲−,۱۲,سقوط به لیگ ۲
