Home \ Away,ARM,CHA,CHT,DAR,ESK,ESM,FJR,KFM,KHE,KTS,MSB,OVM,PAR,SAP,SHR,SHH,SAQ,VPN
Arman Gohar,—,1–2,2–1,0–0,0–2,2–0,1–1,1–1,1–1,1–3,2–3,,3–2,2–1,1–0,1–0,1–2,1–1
Chadormalou Ardakan,1–1,—,3–3,0–0,2–2,0–1,2–1,0–1,1–1,4–2,1–1,,0–2,0–0,1–0,1–1,0–2,2–0
Chooka Talesh,2–0,1–2,—,1–3,1–0,1–2,1–2,0–0,1–1,2–0,0–1,3-0,0–0,0–0,3–0,2–2,0–3,1–2
Darya Babol,0–0,0–1,0–0,—,0–1,4–1,3–0,1–0,0–0,1–1,3–1,,0–0,1–0,2–0,0–0,1–2,1–1
Esteghlal Khuzestan,5–0,0–0,6–0,1–0,—,1–1,0–0,2–0,0–0,2–0,0–0,,3–1,0–0,1–0,0–0,2–1,2–0
Esteghlal Mollasani,1–1,1–0,3–3,2–0,3–3,—,1–1,1–1,2–1,1–1,0–0,,0–0,0–0,0–0,1–1,0–0,1–1
Fajr Sepasi Shiraz,2–1,2–0,3–0,4–1,1–1,1–2,—,3–0,1–1,1–2,1–1,11-0,3–1,1–0,0–0,1–0,1–0,1–0
Khalij Fars Mahshahr,2–1,0–1,4–2,2–1,1–0,0–2,0–4,—,0–3,0–0,1–0,,1–2,0–1,1–1,1–0,0–0,0–1
Kheybar Khorramabad,2–0,0–0,2–0,2–1,1–1,4–0,1–0,3–1,—,0–0,0–0,,0–0,0–0,0–0,0–0,3–1,0–1
Khooshe Talaei Saveh,0–1,1–1,1–0,0–1,0–2,4–0,1–1,1–0,1–1,—,0–0,1-0,2–0,0–1,2–0,0–0,0–3,0–1
Mes Shahr Babak,1–0,2–0,2–1,0–0,1–1,3–0,1–0,1–0,0–1,1–1,—,,0–0,0–0,0–0,1–0,1–1,2–0
Omid Vahdat,0-7,,,0-6,,0-3,,0-5,,,0-3,—,,,,,,
Pars Jonoubi Jam,0–1,0–1,2–1,1–0,1–2,2–1,0–0,0–0,0–0,1–0,2–1,,—,1–1,3–0,1–0,0–1,2–1
Saipa,2–1,1–0,0–0,2–0,2–2,4–0,0–1,3–1,0–1,1–0,1–0,,3–1,—,1–1,1–0,2–1,1–0
Shahrdari Astara,2–0,0–2,1–1,0–0,0–0,1–0,0–0,2–2,0–1,0–0,0–0,,1–0,0–1,—,3–0,0–0,1–0
Shahrdari Hamedan,1–0,0–1,3–0,0–0,0–1,0–0,1–2,1–0,2–0,0–2,1–0,7-0,0–1,0–1,0–0,—,1–4,1–0
Shams Azar Qazvin,3–1,3–1,4–1,1–1,2–1,0–0,3–1,2–1,2–1,4–0,3–0,,5–0,4–0,3–1,2–1,—,3–0
Van Pars Naghsh-e-Jahan,1–1,0–2,1–0,1–0,3–3,2–0,0–0,2–0,0–1,2–1,0–0,,0–0,4–0,2–0,3–0,2–2,—
