رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,امتیاز,توضیحات
1,صبا باطری[۱],30,18,9,3,54,28,63,صعود به لیگ برتر فوتبال ایران ۸۴–۱۳۸۳
2,ملوان بندر انزلی,30,15,10,5,46,21,55,صعود به لیگ برتر فوتبال ایران ۸۴–۱۳۸۳
3,شهید قندی یزد,30,14,7,9,46,31,49,
4,صنعت نفت آبادان,30,13,8,9,36,26,47,
5,برق تهران,30,11,13,6,29,18,46,
6,پیام مشهد,30,10,13,7,32,30,43,
7,ماشین سازی تبریز,30,11,8,11,35,41,41,
8,تراکتورسازی,30,9,13,8,34,32,40,
9,هما,30,9,11,10,42,37,38,
10,شهاب زنجان,30,9,10,11,29,39,37,
11,راه‌آهن,30,9,8,13,30,41,35,
12,عقاب تهران,30,7,12,11,31,34,33,
13,مس کرمان,30,8,9,13,28,34,33,
14,صنایع اراک,30,8,8,14,30,43,32,
15,نیرومحرکه قزوین,30,5,10,15,21,43,25,سقوط به لیگ دو
16,نساجی مازندران,30,5,9,16,13,43,24,سقوط به لیگ دو
