Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Steel Azin,22,11,5,6,41,28,+13,38,Azadegan League 2007–08 Play Off
2,Payam Khorasan,22,11,5,6,29,21,+8,38,Azadegan League 2007–08 Play Off
3,Niroye Zamini,22,10,7,5,26,19,+7,37,
4,Tractor Sazi,22,7,10,5,23,19,+4,31,
5,Gol Gohar,22,8,7,7,25,24,+1,31,
6,Sorkhpooshan,22,7,10,5,19,20,−1,31,
7,Sh. Bandar Abbas,22,7,8,7,26,21,+5,29,
8,Damash Lorestan,22,7,7,8,24,26,−2,28,
9,Moghavemat Mersad,22,7,7,8,23,25,−2,28,
10,Kaveh Zanjan,22,6,8,8,18,18,0,26,
11,Shamoushak,22,7,4,11,19,28,−9,25,Relegation to 2008-09 Iran Football's 2nd Division
12,Shahin Ahvaz,22,4,2,16,20,44,−24,14,Relegation to 2008-09 Iran Football's 2nd Division
