رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,استیل آذین,۲۲,۱۱,۵,۶,۴۱,۲۸,۱۳+,۳۸,صعود به مرحله دوم
۲,پیام مشهد,۲۲,۱۱,۵,۶,۲۹,۲۱,۸+,۳۸,صعود به مرحله دوم
۳,نیروی زمینی,۲۲,۱۰,۷,۵,۲۶,۱۹,۷+,۳۷,
۴,تراکتور سازی,۲۲,۷,۱۰,۵,۲۳,۱۹,۴+,۳۱,
۵,گل‌گهر,۲۲,۸,۷,۷,۲۵,۲۴,۱+,۳۱,
۶,سرخپوشان دلوار افزار,۲۲,۷,۱۰,۵,۱۹,۲۰,۱−,۳۱,
۷,شهرداری بندرعباس,۲۲,۷,۸,۷,۲۶,۲۱,۵+,۲۹,
۸,داماش لرستان,۲۲,۷,۷,۸,۲۴,۲۶,۲−,۲۸,
۹,مقاومت مرصاد شیراز,۲۲,۷,۷,۸,۲۳,۲۵,۲−,۲۸,
۱۰,کاوه زنجان,۲۲,۶,۸,۸,۱۸,۱۸,۰,۲۶,
۱۱,شموشک,۲۲,۷,۴,۱۱,۱۹,۲۸,۹−,۲۵,سقوط به لیگ دسته دو
۱۲,شاهین اهواز,۲۲,۴,۲,۱۶,۲۰,۴۴,۲۴−,۱۴,سقوط به لیگ دسته دو
