Home \ Away,GOL,HOM,KOW,MEH,MMS,NSJ,PET,SNA,ALU,SPN,SHB,SHT,SHZ,STL
Gol Gohar,,1–0,2–0,2–2,4–0,1–1,3–5,0–0,2–1,0–2,1–0,1–0,1–0,1–3
Homa,2–2,,0–0,2–0,1–1,1–1,0–1,2–3,0–0,0–0,0–1,1–2,2–1,0–1
Kowsar Lorestan,0–1,2–1,,1–1,2–0,3–2,1–0,0–0,0–3,0–0,0–0,0–1,1–0,0–1
Mehrkam Pars,1–2,1–1,1–2,,1–1,1–0,0–1,2–0,0–0,1–0,3–1,1–1,1–0,1–1
Moghavemat Mersad,1–1,4–1,1–2,2–1,,4–3,0–0,1–1,1–1,0–1,1–1,4–1,1–1,4–0
Nassaji Mazandaran,1–0,0–0,0–0,1–1,1–0,,1–3,0–0,0–0,3–1,1–0,0–0,3–1,3–5
Petroshimi Tabriz,1–2,0–1,1–0,4–1,2–0,1–0,,1–1,1–1,2–0,2–1,0–0,2–2,2–2
Sanat Naft Abadan F.C.,3–1,1–2,2–2,2–2,1–0,0–0,3–0,,1–1,0–0,2–2,1–0,1–0,0–1
Aluminium Arak,1–0,2–1,7–0,3–2,0–1,3–1,3–3,1–0,,1–0,1–1,3–1,1–0,1–3
Sepahan Novin,2–2,2–1,2–1,1–0,1–0,1–1,2–4,1–2,0–1,,2–1,1–1,1–1,1–2
Sh. Bandar Abbas,1–2,2–1,0–1,0–2,2–0,2–1,0–1,2–2,1–2,1–1,,1–4,2–0,2–1
Sh. Tabriz,0–0,1–0,1–0,2–2,2–0,3–0,2–2,2–0,1–0,2–2,1–0,,3–3,3–1
Sh. Zanjan,1–1,0–0,2–2,0–1,2–0,0–0,1–0,1–0,0–0,0–3,0–0,1–3,,1–1
Steel Azin,1–0,3–2,0–0,0–1,1–0,3–1,4–1,3–2,3–0,3–2,2–1,1–2,3–1,
