Home \ Away,DAM,ETK,IRJ,MSR,PYM,PMS,SNA,KAV,SPN,SAA,SHB,SHT,SHM,TAR
Damash Lorestan,,0–0,0–0,1–2,2–2,2–1,1–2,1–1,0–2,3–0,0–0,0–0,2–1,2–1
Etka Gorgan,1–0,,0–0,0–1,1–0,2–0,2–2,0–2,0–3,1–0,0–0,1–1,0–2,0–0
Iranjavan,3–1,1–2,,2–1,1–3,2–0,0–0,1–2,2–1,3–0,1–1,0–5,2–1,1–0
Mes Rafsanjan,2–0,1–1,2–2,,2–2,1–1,1–3,1–1,1–0,3–0,1–0,1–1,1–1,0–1
Payam Mashhad,1–0,2–1,2–2,1–1,,1–0,1–1,1–0,2–3,0–0,2–0,0–2,3–0,1–4
Payam Mokhaberat,0–0,0–0,1–0,1–0,2–4,,2–1,0–2,2–2,2–0,1–0,0–1,4–1,0–1
Sanat Naft Abadan F.C.,1–2,2–1,2–0,1–1,3–0,4–1,,2–0,0–1,1–0,2–1,0–2,1–0,0–0
Sanati Kaveh,0–1,1–1,1–0,0–0,4–2,0–2,0–1,,1–2,0–0,3–2,1–2,0–0,0–0
Sepahan Novin,3–0,1–2,1–1,0–2,0–1,1–1,2–1,3–1,,3–0,2–2,1–1,2–1,2–1
Shahin Ahvaz,1–3,0–1,0–3,0–2,1–0,0–0,1–2,1–2,1–4,,1–6,1–2,1–1,0–0
Sh. Bandar Abbas,4–0,0–1,1–0,1–0,2–1,0–0,3–2,1–2,3–2,0–0,,0–0,2–0,1–1
Sh. Tabriz,2–2,1–0,1–0,1–0,2–0,1–0,0–0,2–1,1–0,7–1,2–0,,1–0,3–1
Shamoushak,1–0,1–1,1–1,3–3,1–1,3–2,2–3,0–1,2–1,4–1,0–0,1–2,,1–0
Tarbiat Yazd,1–0,0–2,4–2,0–0,1–0,1–0,1–0,4–1,2–0,2–0,1–1,0–0,2–1,
