Home \ Away,ALH,BGH,DMG,FOL,GOL,GOS,KOW,MEH,MSA,NAF,NSJ,PET,ARA,SFZ
Aluminium Hormozgan,,2–1,0–2,1–1,1–0,1–1,2–1,2–1,1–1,1–1,0–0,3–0,3–2,1–0
Bargh Shiraz,3–1,,2–1,2–1,2–1,1–0,1–0,2–1,2–1,1–1,1–0,1–0,1–1,2–1
Damash,2–2,2–1,,3–0,2–1,1–0,2–1,0–0,1–0,1–2,1–1,2–1,1–0,0–1
Foolad Novin,2–3,1–1,2–1,,2–1,1–1,1–0,0–1,2–1,0–0,4–0,2–0,1–0,2–1
Gol Gohar,2–0,4–3,1–1,4–1,,0–0,3–0,1–0,1–1,2–1,1–1,1–1,2–1,0–1
Gostaresh,2–0,0–0,1–3,3–0,3–2,,3–3,3–1,3–2,0–1,0–0,0–2,2–1,2–2
Kowsar Lorestan,3–3,1–0,0–3,0–0,0–0,2–3,,2–1,1–2,0–1,0–1,2–3,0–1,2–1
Mehrkam Pars,2–2,1–0,1–2,2–1,2–0,0–1,2–1,,0–1,0–2,1–3,3–1,1–0,1–0
Mes Sarcheshmeh,1–1,1–1,0–1,2–0,1–0,3–0,0–0,3–0,,1–1,1–0,1–0,1–1,3–1
Naft Tehran,3–0,1–0,1–2,2–0,0–1,1–0,3–0,1–0,2–2,,1–0,1–0,2–0,1–1
Nassaji Mazandaran,2–0,0–1,4–1,2–0,1–0,1–3,0–0,0–0,3–1,2–2,,2–1,0–2,0–0
Petroshimi Tabriz,0–0,0–1,1–1,2–1,1–0,2–1,2–1,0–0,1–1,1–1,1–1,,1–0,1–1
Shensa,0–1,0–2,2–2,1–0,2–1,3–2,1–1,0–1,0–0,0–0,2–1,2–1,,1–1
Shirin Faraz,0–1,1–1,1–0,2–1,4–1,1–0,2–1,0–0,2–1,1–1,2–2,2–0,1–1,
