0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
میزبان ╲ میهمان,آ.هرمز,برق,داماش,نوین,گل,گستر,کوثر,مهر,مس سر,نفت,نسج,پترو,شن,شیرین
آلومینیوم هرمزگان,,۲–۱,۰–۲,۱–۱,۱–۰,۱–۱,۲–۱,۲–۱,۱–۱,۱–۱,۰–۰,۳–۰,۳–۲,۱–۰
برق شیراز,۳–۱,,۲–۱,۲–۱,۲–۱,۱–۰,۱–۰,۲–۱,۲–۱,۱–۱,۱–۰,۱–۰,۱–۱,۲–۱
داماش گیلان,۲–۲,۲–۱,,۳–۰,۲–۱,۱–۰,۲–۱,۰–۰,۱–۰,۱–۲,۱–۱,۲–۱,۱–۰,۰–۱
فولاد نوین خوزستان,۲–۳,۱–۱,۲–۱,,۲–۱,۱–۱,۱–۰,۰–۱,۲–۱,۰–۰,۴–۰,۲–۰,۱–۰,۲–۱
گل‌گهر,۲–۰,۴–۳,۱–۱,۴–۱,,۰–۰,۳–۰,۱–۰,۱–۱,۲–۱,۱–۱,۱–۱,۲–۱,۰–۱
گسترش فولاد,۲–۰,۰–۰,۱–۳,۳–۰,۳–۲,,۳–۳,۳–۱,۳–۲,۰–۱,۰–۰,۰–۲,۲–۱,۲–۲
کوثر لرستان,۳–۳,۱–۰,۰–۳,۰–۰,۰–۰,۲–۳,,۲–۱,۱–۲,۰–۱,۰–۱,۲–۳,۰–۱,۲–۱
مهرکام پارس,۲–۲,۱–۰,۱–۲,۲–۱,۲–۰,۰–۱,۲–۱,,۰–۱,۰–۲,۱–۳,۳–۱,۱–۰,۱–۰
مس سرچشمه,۱–۱,۱–۱,۰–۱,۲–۰,۱–۰,۳–۰,۰–۰,۳–۰,,۱–۱,۱–۰,۱–۰,۱–۱,۳–۱
نفت تهران,۳–۰,۱–۰,۱–۲,۲–۰,۰–۱,۱–۰,۳–۰,۱–۰,۲–۲,,۱–۰,۱–۰,۲–۰,۱–۱
نساجی مازندران,۲–۰,۰–۱,۴–۱,۲–۰,۱–۰,۱–۳,۰–۰,۰–۰,۳–۱,۲–۲,,۲–۱,۰–۲,۰–۰
پتروشیمی تبریز,۰–۰,۰–۱,۱–۱,۲–۱,۱–۰,۲–۱,۲–۱,۰–۰,۱–۱,۱–۱,۱–۱,,۱–۰,۱–۱
شن‌سا ساوه,۰–۱,۰–۲,۲–۲,۱–۰,۲–۱,۳–۲,۱–۱,۰–۱,۰–۰,۰–۰,۲–۱,۲–۱,,۱–۱
شیرین فراز,۰–۱,۱–۱,۱–۰,۲–۱,۴–۱,۱–۰,۲–۱,۰–۰,۲–۱,۱–۱,۲–۲,۲–۰,۱–۱,
